Blender 4.5.12 LTS (hash 84afd5f785f7 built 2026-07-21 01:33:53)
Read blend: "C:\Users\xdrhh\Documents\Codex\2026-09-18\codex-blender-mcp-blender-python-3d\outputs\Jiangnan.blend"
警告: 库文件, 加载空场景
Fra:80 Mem:350.68M (Peak 350.68M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_庭基
Fra:80 Mem:350.71M (Peak 350.71M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦
Fra:80 Mem:350.71M (Peak 350.71M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.003
Fra:80 Mem:350.72M (Peak 350.72M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.005
Fra:80 Mem:350.72M (Peak 350.72M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.006
Fra:80 Mem:350.73M (Peak 350.73M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.008
Fra:80 Mem:350.73M (Peak 350.73M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.009
Fra:80 Mem:350.73M (Peak 350.73M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.010
Fra:80 Mem:350.73M (Peak 350.73M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.012
Fra:80 Mem:350.73M (Peak 350.73M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.013
帧:80 内存:350.73M (峰值 350.73M) | 时间:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.014
Fra:80 Mem:350.81M (Peak 350.81M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.015
Fra:80 Mem:350.82M (Peak 350.82M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.001
Fra:80 Mem:350.82M (Peak 350.82M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.016
Fra:80 Mem:350.82M (Peak 350.82M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.018
Fra:80 Mem:350.83M (Peak 350.83M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.019
Fra:80 Mem:350.83M (Peak 350.83M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.020
帧:80 内存:350.83M (峰值 350.83M) | 时间:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.021
Fra:80 Mem:350.90M (Peak 350.90M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.022
Fra:80 Mem:350.92M (Peak 350.92M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.002
Fra:80 Mem:350.92M (Peak 350.92M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.024
Fra:80 Mem:350.92M (Peak 350.92M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.025
Fra:80 Mem:350.92M (Peak 350.92M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.026
Fra:80 Mem:350.92M (Peak 350.92M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.027
帧:80 内存:350.92M (峰值 350.92M) | 时间:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.028
Fra:80 Mem:351.00M (Peak 351.00M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.029
Fra:80 Mem:351.02M (Peak 351.02M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.030
Fra:80 Mem:351.02M (Peak 351.02M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.031
Fra:80 Mem:351.02M (Peak 351.02M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.032
Fra:80 Mem:351.02M (Peak 351.02M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.034
帧:80 内存:351.02M (峰值 351.02M) | 时间:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.035
Fra:80 Mem:351.09M (Peak 351.09M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.036
Fra:80 Mem:351.11M (Peak 351.11M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.004
Fra:80 Mem:351.19M (Peak 351.19M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.037
Fra:80 Mem:351.19M (Peak 351.19M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.039
Fra:80 Mem:351.19M (Peak 351.19M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.040
帧:80 内存:351.19M (峰值 351.19M) | 时间:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.042
Fra:80 Mem:351.26M (Peak 351.26M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.043
Fra:80 Mem:351.28M (Peak 351.28M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.005
Fra:80 Mem:351.28M (Peak 351.28M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.045
Fra:80 Mem:351.28M (Peak 351.28M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.046
Fra:80 Mem:351.29M (Peak 351.29M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.048
帧:80 内存:351.29M (峰值 351.29M) | 时间:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.049
Fra:80 Mem:351.31M (Peak 351.31M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.050
帧:80 内存:351.38M (峰值 351.38M) | 时间:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.006
Fra:80 Mem:351.45M (Peak 351.45M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.052
Fra:80 Mem:351.47M (Peak 351.47M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.053
Fra:80 Mem:351.47M (Peak 351.47M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.054
Fra:80 Mem:351.47M (Peak 351.47M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.056
Fra:80 Mem:351.48M (Peak 351.48M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.057
Fra:80 Mem:351.48M (Peak 351.48M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.058
Fra:80 Mem:351.49M (Peak 351.49M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_月门_弧形砖券.059
